,dataset,epsilon,feature,resolution,mean MSE ALE generic,std ALE generic,mean MSE ALE laplace,std ALE laplace,splits
27,Adult Income,2.0,capital-gain,,0.07079667115661496,0.01871352632725244,0.08256892393563706,0.02698948504103783,
28,Adult Income,2.0,capital-loss,,0.01833952795533491,0.005649944421237841,0.00696670060715483,0.0023441545375347535,
29,Adult Income,2.0,education,,0.02566092287039659,0.007380417926476936,3.339008790582023e-05,2.0083287730367775e-05,
30,Adult Income,2.0,education-num,,0.01570276515496554,0.009591431627721725,7.329795774247287e-05,4.393456040084774e-05,
31,Adult Income,2.0,hours-per-week,,0.014423325993801823,0.00813313379570217,9.541898857890456e-05,4.5570802727463655e-05,
32,Adult Income,2.0,marital-status,,0.0031815327306396503,0.0017864220338480138,9.448189342395087e-06,1.2967020543818338e-05,
33,Adult Income,2.0,native-country,,0.12142567359714902,0.0660833768490761,0.12077218150222443,0.1641469218779017,
34,Adult Income,2.0,occupation,,0.010642852723012611,0.005294965602709836,9.24783490369577e-06,1.537781220841792e-05,
35,Adult Income,2.0,race,,0.0016239714479988903,0.00169049955855989,5.4770881498095455e-06,6.388630480940955e-06,
36,Adult Income,2.0,relationship,,0.0016422836314472597,0.001224524074282158,3.832522508315568e-07,3.8265638274215493e-07,
37,Adult Income,2.0,sex,,0.00013892543053827954,0.00015474865166519277,7.574507808190691e-09,9.177292792003135e-09,
38,Adult Income,2.0,workclass,,0.0021931663690200496,0.0014267566362944927,1.5583671759822393e-06,2.7112015313398543e-06,
39,Adult Income,5.0,age,,0.00298063037946564,0.001247758382783801,0.00011549875118720718,2.4443166869400526e-05,
40,Adult Income,5.0,capital-gain,,0.04171379432868251,0.006906216669149105,0.0624775692732088,0.017799064083555156,
41,Adult Income,5.0,capital-loss,,0.009626868412120548,0.003952350275216991,0.00581391335015174,0.0008327546705896151,
42,Adult Income,5.0,education,,0.0032434253840647395,0.0015096028148918258,3.670570474181625e-06,4.362381553490484e-06,
43,Adult Income,5.0,education-num,,0.00200442381440014,0.0007418363216711028,6.22009997833211e-05,3.125598189015039e-05,
44,Adult Income,5.0,hours-per-week,,0.00264282747179704,0.0009470023249493082,0.0001193127152355501,7.022788959842149e-05,
45,Adult Income,5.0,marital-status,,0.00099941800721103,0.00048402666220357727,5.545268413160947e-07,5.206004279082695e-07,
46,Adult Income,5.0,native-country,,0.012856500581048189,0.0023268070828781125,0.004215477572625829,0.004039551156274172,
47,Adult Income,5.0,occupation,,0.00176835445260442,0.0021589152711018926,1.588689974900177e-06,1.969458930723658e-06,
48,Adult Income,5.0,race,,0.00017942927226848049,0.00017177838019594513,1.5989338345556777e-06,1.010249766528801e-06,
49,Adult Income,5.0,relationship,,0.0003861271902592096,0.0003038230844152123,1.0289147965385383e-07,7.885155387499913e-08,
50,Adult Income,5.0,sex,,4.033296040397722e-05,3.7900216523121745e-05,3.759018050181198e-09,6.876204640330112e-09,
51,Adult Income,5.0,workclass,,0.0005099682335267759,0.0004427011371987348,3.397613704976207e-07,2.989288480123289e-07,
52,Adult Income,10.0,age,,0.0008727459913172201,0.0003757316230264597,0.00010140941929016362,1.3381268015447986e-05,
53,Adult Income,10.0,capital-gain,,0.040830669567489646,0.003843858095658607,0.058814605282526966,0.019937113621006523,
54,Adult Income,10.0,capital-loss,,0.0050938813556201,0.0008611169070901043,0.00648122750168476,0.0009280780129195323,
55,Adult Income,10.0,education,,0.00062127465220115,0.0004138421571846925,1.6894754559881244e-06,2.8648637066635124e-06,
56,Adult Income,10.0,education-num,,0.00059391637399752,0.00025585235487155,6.035383975675061e-05,2.8822652734710737e-05,
57,Adult Income,10.0,hours-per-week,,0.00056115837590342,0.00019271920171738,0.00011759217122575647,6.768579569763331e-05,
58,Adult Income,10.0,marital-status,,0.0006261504109867199,0.0002789356895694893,1.333301892362566e-07,1.5767538553591233e-07,
59,Adult Income,10.0,native-country,,0.00448706190129189,0.0012908114343388266,0.0011411855218848702,0.000925538273761026,
60,Adult Income,10.0,occupation,,0.0007034037492036699,0.00041494345368467205,1.0224010978640482e-06,1.7845758011669883e-06,
61,Adult Income,10.0,race,,4.348141683077445e-05,2.4653876228857412e-05,7.23652361263882e-07,1.5142136385100453e-06,
62,Adult Income,10.0,relationship,,8.14417366553696e-05,4.582724579119166e-05,1.843298657143054e-08,2.10681401134757e-08,
63,Adult Income,10.0,sex,,5.458073613110175e-06,7.28281496608684e-06,5.214394581548876e-11,4.9968950254942943e-11,
64,Adult Income,10.0,workclass,,0.00010877075865603467,4.620966074910222e-05,4.700559119885969e-08,2.8276862404740458e-08,
65,Bike Sharing,0.5,atemp,,280798.5017703067,156102.2384036695,1569.2518443438896,1364.0003523122123,
66,Bike Sharing,0.5,holiday,,3650.6342665607153,3576.7471250708595,12.035148920699598,1.4560908145934275,
67,Bike Sharing,0.5,hr,,290886.1895867315,138097.63495158558,3888.9992131031204,2660.637238354079,
68,Bike Sharing,0.5,hum,,308033.5041050251,102356.64438043475,474.02427182004465,306.8592344420288,
69,Bike Sharing,0.5,mnth,,223601.56097016358,90641.2494494561,480.5556227601339,436.79453782750767,
70,Bike Sharing,0.5,weathersit,,298233.13048141217,95433.62073170091,1228.0370708486676,1423.8107446239865,
71,Bike Sharing,0.5,weekday,,252623.69476593734,133122.8267296704,1337.9878376398588,1055.4263847634452,
72,Bike Sharing,0.5,windspeed,,273929.9888020373,190578.19526581033,640.760131114796,455.7016278247088,
73,Bike Sharing,0.5,workingday,,5316.9419261914645,4807.443691714597,0.8364768750844627,0.8509309176982413,
74,Bike Sharing,0.5,yr,,3894.379405849372,4924.661393618899,0.1685358184948302,0.18530553485286194,
75,Bike Sharing,1.0,atemp,,65650.67309172596,29054.20672135788,167.07301524302974,63.69346352823991,
76,Bike Sharing,1.0,holiday,,1395.0855341996187,1331.551503414721,12.604551667851572,0.4444624825783768,
77,Bike Sharing,1.0,hr,,65807.48540087446,35874.00336284656,742.0129609127246,462.1101473344146,
78,Bike Sharing,1.0,hum,,65630.13604628616,31928.711008014117,262.48653671372557,248.6840270516969,
79,Bike Sharing,1.0,mnth,,56752.80631175209,17862.147963196327,180.87947771643348,123.62064062398825,
80,Bike Sharing,1.0,weathersit,,69761.20988507674,38439.670615971656,376.0345381915192,397.8965252201137,
81,Bike Sharing,1.0,weekday,,66084.91327602256,28660.570350634138,179.45051076849052,141.59050733714983,
82,Bike Sharing,1.0,windspeed,,76851.83436086707,28871.26092284504,161.2784164778098,95.09161726381994,
83,Bike Sharing,1.0,workingday,,349.74329410919074,317.6847513048017,0.2633137923392309,0.17658602027568535,
84,Bike Sharing,1.0,yr,,1046.5187636260905,1444.0889289519278,0.08996400467823998,0.09464330072286764,
85,Bike Sharing,2.0,atemp,,16580.28107804084,5988.808474854138,121.8022096226119,49.40945058892285,
86,Bike Sharing,2.0,holiday,,233.56911948763945,157.12469513654347,12.344655645661476,0.11329704742962714,
87,Bike Sharing,2.0,hr,,13535.97535570648,5880.566299762843,241.99762133701333,79.16075907484051,
88,Bike Sharing,2.0,hum,,18031.14309054338,6349.0312850145865,83.66428650063217,44.99144157312778,
89,Bike Sharing,2.0,mnth,,14992.415514802331,7941.11784811097,40.4037061034,26.357400404940908,
90,Bike Sharing,2.0,weathersit,,19782.851990447976,8570.619780150693,111.73519014605431,61.529413876147345,
91,Bike Sharing,2.0,weekday,,16482.187171331076,4878.217932371216,69.09034137098958,70.7549351824129,
92,Bike Sharing,2.0,windspeed,,18084.576611047054,11684.187198206158,62.106871689395156,57.83770612111397,
93,Bike Sharing,2.0,workingday,,175.0014722086409,251.89966599140286,0.3400298208081053,0.1584504375696234,
94,Bike Sharing,2.0,yr,,276.5492291095191,234.92178862390432,0.08160968811990088,0.04666944804818137,
95,Bike Sharing,5.0,atemp,,3082.544351508697,1408.815135714222,49.392263065119394,23.52262346354155,
96,Bike Sharing,5.0,holiday,,38.57917969181974,42.93082550692105,12.310454712844663,0.1219414633745631,
97,Bike Sharing,5.0,hr,,3029.913917549416,951.488033697082,209.1502085577659,71.54874836226068,
98,Bike Sharing,5.0,hum,,2280.4315084472028,855.1001377687901,16.912500860434097,15.429682623361936,
99,Bike Sharing,5.0,mnth,,2977.6559895327578,1428.0129297371989,6.055755023752709,4.134265409770138,
100,Bike Sharing,5.0,weathersit,,2865.0277380757875,2100.880836765087,49.46547862012221,24.61487870448536,
101,Bike Sharing,5.0,weekday,,2961.6096270548537,940.6082277473072,11.055008778456488,8.472947329753875,
102,Bike Sharing,5.0,windspeed,,2345.6318216496957,831.409344912165,18.704262829322737,12.820827465612803,
103,Bike Sharing,5.0,workingday,,58.139214475568465,78.96163327771275,0.27176032294409425,0.0205556503196738,
104,Bike Sharing,5.0,yr,,22.333413733457572,27.503922267846157,0.07082468009483103,0.016099741993136383,
105,Bike Sharing,10.0,atemp,,1238.66759679476,270.0037145090106,38.74328118339902,9.93756312626153,
106,Bike Sharing,10.0,holiday,,41.77402396758087,25.0430012993668,12.369115831985855,0.06603820848712269,
107,Bike Sharing,10.0,hr,,1165.668203261501,452.5881973574853,221.81019921902043,77.95460258375523,
108,Bike Sharing,10.0,hum,,723.6528722491676,383.6061355960244,11.00135637968832,5.611582902839985,
109,Bike Sharing,10.0,mnth,,750.1387367457983,219.9257566380997,3.452809488516287,1.155145238058178,
110,Bike Sharing,10.0,weathersit,,717.773224906887,459.5180349489178,39.481557949753814,18.345847829289394,
111,Bike Sharing,10.0,weekday,,601.9568457767803,297.32348401895246,6.633442161812866,2.2336037629547603,
112,Bike Sharing,10.0,windspeed,,928.4414051017036,495.4343258470878,5.8943037022060825,2.9013868161278715,
113,Bike Sharing,10.0,workingday,,5.497795090646752,6.126290320023908,0.27698732724616326,0.03966052794178504,
114,Bike Sharing,10.0,yr,,12.168285475618854,14.821139776325918,0.06445666144111692,0.012810829155487586,
115,Heart Disease,0.5,age,,0.4163156831681335,0.15340303424691012,0.015055270711358948,0.01463719446547038,
116,Heart Disease,0.5,bmi,,0.3151920364366239,0.2293607410974631,0.01841460311204462,0.014570787741719885,
117,Heart Disease,0.5,bp_meds,,0.00410379078927014,0.005314708170994325,4.827081283218831e-07,9.199361534974116e-07,
118,Heart Disease,0.5,cigs_per_day,,0.2831511738163317,0.14010413921893866,0.018186278719955668,0.018978408352330008,
119,Heart Disease,0.5,dia_bp,,0.24504515397020224,0.1526991065634089,0.02130733531683767,0.02114107918427354,
120,Heart Disease,0.5,diabetes,,0.0007940581067545624,0.0011968444532272316,3.397980346118855e-07,4.001910437541407e-07,
121,Heart Disease,0.5,education,,0.01534140287871703,0.0130775150508607,2.1016568069915635e-05,2.500074630329288e-05,
122,Heart Disease,0.5,glucose,,0.32581746146055873,0.08669116163267217,0.03155673112155696,0.03142358787456439,
123,Heart Disease,0.5,heart_rate,,0.26409237253218015,0.07988564531479926,0.024044888667484138,0.02854225697572038,
124,Heart Disease,0.5,prevalent_stroke,,0.00355542055191443,0.00472987226015387,6.310768098598422e-07,7.365073937643777e-07,
125,Heart Disease,0.5,prevelant_hyp,,0.002503044435484139,0.0033014594693949882,6.590209961143864e-07,6.128507556456104e-07,
126,Heart Disease,0.5,sex,,0.00229809345957624,0.0021206126946969606,2.5182031940720383e-06,3.1746869859698624e-06,
127,Heart Disease,0.5,smoker,,0.01144973720750348,0.02578184703833707,4.85598199444334e-06,7.634177156110731e-06,
128,Heart Disease,0.5,sys_bp,,0.22544936650300662,0.055920064721890886,0.017035935065820497,0.013980787957134146,
129,Heart Disease,0.5,total_chol,,0.3044143921883911,0.16515763885424714,0.023288295958817408,0.021148392692753978,
130,Heart Disease,1.0,age,,0.057687990064756424,0.027433079218224396,0.005710914996280289,0.003979802889271263,
131,Heart Disease,1.0,bmi,,0.0497938967766373,0.027778898655754496,0.00428823063449601,0.002015055830045632,
132,Heart Disease,1.0,bp_meds,,0.0010069269163732898,0.0013448259930451721,4.3827631946511423e-07,6.236349648490627e-07,
133,Heart Disease,1.0,cigs_per_day,,0.0737901576490258,0.042080645933063945,0.00391398017394424,0.004666198845792045,
134,Heart Disease,1.0,dia_bp,,0.05889416538969907,0.028525475305097445,0.00584808116288832,0.0037896171905219657,
135,Heart Disease,1.0,diabetes,,0.0006592249633235998,0.0005415095207336642,2.6893499286703284e-07,3.923234672638487e-07,
136,Heart Disease,1.0,education,,0.0031625340924012904,0.0031416834815530684,6.1457315218971694e-06,4.859307468100011e-06,
137,Heart Disease,1.0,glucose,,0.09200759517666457,0.04058945252959999,0.0168976321158792,0.020944555896058013,
138,Heart Disease,1.0,heart_rate,,0.07490294935010436,0.039217638463036275,0.00337115311810044,0.003996267246680097,
139,Heart Disease,1.0,prevalent_stroke,,0.0006493073671832571,0.000795464753546828,1.445134545474434e-07,1.4392090650599804e-07,
140,Heart Disease,1.0,prevelant_hyp,,0.0013312449173918813,0.0013516645569196406,8.310211774778578e-08,8.420663385047325e-08,
141,Heart Disease,1.0,sex,,0.001442192766658116,0.002107227223636965,8.669492051841574e-07,1.163113572763873e-06,
142,Heart Disease,1.0,smoker,,0.0023867800453534404,0.005080614267383994,6.100437300035682e-07,9.343979190611714e-07,
143,Heart Disease,1.0,sys_bp,,0.06961556169314827,0.028764932534758314,0.006477900508442211,0.004132401964209524,
144,Heart Disease,1.0,total_chol,,0.07528077006592719,0.029087336314503883,0.0072544108827633305,0.004422345357950124,
145,Heart Disease,2.0,age,,0.014977705729724048,0.006573942807982172,0.0014446364877767199,0.001296553333318996,
146,Heart Disease,2.0,bmi,,0.020584572746496284,0.008142919576246252,0.0016021694676293901,0.0012953797183501258,
147,Heart Disease,2.0,bp_meds,,0.00018970923186482157,0.00012377807860947546,4.499260844639756e-08,8.540822302913405e-08,
148,Heart Disease,2.0,cigs_per_day,,0.020655172182465747,0.010116375164066637,0.0018155198249966778,0.002161314268391629,
149,Heart Disease,2.0,dia_bp,,0.01851771609454881,0.006522661711936428,0.0021387766242581797,0.0019532738179047033,
150,Heart Disease,2.0,diabetes,,0.00022789534094797681,0.00017819775627137842,1.618381225893369e-08,2.7482221624514403e-08,
151,Heart Disease,2.0,education,,0.0009881045818710657,0.0011785327581575666,3.500854748046567e-06,4.716413532210899e-06,
152,Heart Disease,2.0,glucose,,0.04722176997302066,0.01635338560030384,0.008768788601737708,0.007110049357594972,
153,Heart Disease,2.0,heart_rate,,0.015120577887542086,0.008597506843123813,0.0022770789982157003,0.002366490224883714,
154,Heart Disease,2.0,prevalent_stroke,,0.00037588044825028,0.0002743963773650567,2.6030999241417115e-08,2.888504366535142e-08,
155,Heart Disease,2.0,prevelant_hyp,,9.358189202608891e-05,6.499761432874262e-05,7.369788125586305e-08,1.066966183882436e-07,
156,Heart Disease,2.0,sex,,0.00018840109425205341,0.00019032356176596654,7.234686263531661e-07,7.035538109811774e-07,
157,Heart Disease,2.0,smoker,,0.00020731226264661734,0.00015642093070176712,1.572096869828954e-07,1.441664380326422e-07,
158,Heart Disease,2.0,sys_bp,,0.02173424577287313,0.004771005822787934,0.0039603612910922206,0.0039563816163733665,
159,Heart Disease,2.0,total_chol,,0.02478779862293365,0.009327836581687631,0.0019876961967396703,0.00207582135316957,
160,Heart Disease,5.0,age,,0.0025829172259158395,0.0008189326556801882,0.00027006638490267447,0.00017021550659693523,
161,Heart Disease,5.0,bmi,,0.006391652136607191,0.0017242700676222617,0.00039163732495136,0.0003255016892905505,
162,Heart Disease,5.0,bp_meds,,0.0001781013290573702,5.1771632213808434e-05,1.5074793343219618e-09,2.9798373265010477e-09,
163,Heart Disease,5.0,cigs_per_day,,0.00290065577059341,0.001573435137790169,0.00041869839368166833,0.0004262528390773037,
164,Heart Disease,5.0,dia_bp,,0.004743179100286299,0.0013904726786058176,0.0005940285025310499,0.00027079518282863423,
165,Heart Disease,5.0,diabetes,,0.0001081566806922116,6.32207634060005e-05,3.9296839463274194e-09,6.667562740104779e-09,
166,Heart Disease,5.0,education,,0.00014677805161372547,0.00010701896957444833,2.0585176266262352e-07,2.5025693280168255e-07,
167,Heart Disease,5.0,glucose,,0.02551193818636612,0.0029516430251167887,0.005747036272678011,0.0012813544034519285,
168,Heart Disease,5.0,heart_rate,,0.003934210972591621,0.0015024775321193975,0.00049556494715406,0.00041083850301358127,
169,Heart Disease,5.0,prevalent_stroke,,0.00039164658769934996,0.00017221704937408903,4.915691428253518e-09,7.1013267404241165e-09,
170,Heart Disease,5.0,prevelant_hyp,,2.2505702740727604e-05,2.7265891225756376e-05,7.4393257146204836e-09,8.716841438555564e-09,
171,Heart Disease,5.0,sex,,5.821091741889971e-05,5.353981556689769e-05,2.726431615222448e-08,3.905620249978891e-08,
172,Heart Disease,5.0,smoker,,2.064925063329348e-05,2.8790707131633512e-05,2.7447092308096552e-08,4.049090313147317e-08,
173,Heart Disease,5.0,sys_bp,,0.00912928990298377,0.0017500593367671723,0.0018218948559199002,0.0008955974336511135,
174,Heart Disease,5.0,total_chol,,0.01223165673566422,0.0023769658560250833,0.00109801160261257,0.001206795410699803,
175,Heart Disease,10.0,age,,0.0009628503238408399,0.000344365230750458,7.829225672068277e-05,1.4672517275717106e-05,
176,Heart Disease,10.0,bmi,,0.00448470350254432,0.0010134573791943675,0.00025627433767726003,0.00014142372777709513,
177,Heart Disease,10.0,bp_meds,,0.00015018094615498382,3.927118786700931e-05,1.4976964853180154e-09,1.954994032430577e-09,
178,Heart Disease,10.0,cigs_per_day,,0.0008638168943195801,0.0003905985684843197,0.0001469857170947716,0.00014880718317823315,
179,Heart Disease,10.0,dia_bp,,0.00359010963913139,0.00047676365144528124,0.0005146926084467001,0.00014852112874215546,
180,Heart Disease,10.0,diabetes,,0.00014089740615945775,9.830629864012037e-05,1.0504306128186974e-09,1.866911746977435e-09,
181,Heart Disease,10.0,education,,2.0852798785379824e-05,1.930122949290841e-05,2.1636886356068904e-07,2.331502515606376e-07,
182,Heart Disease,10.0,glucose,,0.025617276753546102,0.0027648192996461217,0.00549498549601054,0.0014763040849215025,
183,Heart Disease,10.0,heart_rate,,0.00140314345856656,0.0003495266624834098,0.00037909904397531,0.00018670593881020572,
184,Heart Disease,10.0,prevalent_stroke,,0.00044542867962568,7.986819996913388e-05,1.1236359394892941e-09,2.4704047743040416e-09,
185,Heart Disease,10.0,prevelant_hyp,,5.384999319400755e-06,4.9501443475468685e-06,2.9168329247857903e-09,2.2756541002508803e-09,
186,Heart Disease,10.0,sex,,1.5690141362971378e-05,1.6484512768838498e-05,3.027937230958744e-09,4.196488428166113e-09,
187,Heart Disease,10.0,smoker,,7.468890301000824e-06,8.207219811426744e-06,1.0821519669081016e-08,1.0695382453004366e-08,
188,Heart Disease,10.0,sys_bp,,0.00728618345135575,0.0017539045333928804,0.0016765818765335702,0.0005180475962108086,
189,Heart Disease,10.0,total_chol,,0.01085252394670043,0.0012759689985358937,0.00085785539744544,0.0011082044391682057,
