,dataset,epsilon,feature,resolution,mean MSE PDP generic,std PDP generic,mean MSE PDP specific,std PDP specific,splits
18,Adult Income,2.0,age,20,0.0035215193050508902,0.001261951764483342,3.685093186600804e-05,2.195273314180767e-06,
19,Adult Income,2.0,capital-gain,20,0.006173710793968052,0.002231762261453588,0.0022444052300356495,1.0585668160306445e-05,
20,Adult Income,2.0,age,50,0.02758996534453887,0.008736459072486933,2.3742790173052746e-05,3.677933104204843e-06,
21,Adult Income,2.0,capital-gain,50,0.026175670299813297,0.004231156606574288,0.00022413973915430004,2.5793332839953397e-06,
22,Adult Income,2.0,age,100,0.09655567765578689,0.012064865510016398,3.188735489462108e-05,5.1635359662269125e-06,
23,Adult Income,2.0,capital-gain,100,0.12156579247813057,0.01921803424515167,0.0003202245471655101,9.415200814107727e-06,
24,Adult Income,5.0,age,10,0.00035743497953889336,0.0003852187146051871,7.871614158584755e-05,8.911256153586331e-07,
25,Adult Income,5.0,capital-gain,10,0.00271693787725374,0.00025876128836892497,0.0022820815007664297,1.8298895634108997e-06,
26,Adult Income,5.0,age,20,0.0005961908740774501,0.00019753818445003823,3.641326614754283e-05,1.019373590253625e-06,
27,Adult Income,5.0,capital-gain,20,0.0024667762366928103,0.0004244730356472408,0.0022496021045347097,4.0988210797304765e-06,
28,Adult Income,5.0,age,50,0.0041105940210470595,0.0015735279569165444,1.858141631124254e-05,1.2838306945040588e-06,
29,Adult Income,5.0,capital-gain,50,0.004930368413177981,0.0015250089467662032,0.00022123070210437,1.1772599981919066e-06,
30,Adult Income,5.0,age,100,0.01825017293909524,0.00487540598421743,1.737151595525076e-05,2.3179900797970866e-06,
31,Adult Income,5.0,capital-gain,100,0.01847285003463948,0.0049409080313981895,0.00030321492514742997,4.451584174287234e-06,
32,Adult Income,10.0,age,10,9.814369227988682e-05,4.6910207802769305e-05,7.891753889299754e-05,3.0165775718459985e-07,
33,Adult Income,10.0,capital-gain,10,0.0025505646807216795,9.857967850553056e-05,0.0022814649361517793,6.167632585972268e-07,
34,Adult Income,10.0,age,20,0.00019296635930402662,0.00011202541016822478,3.536329666903796e-05,4.5682143858143927e-07,
35,Adult Income,10.0,capital-gain,20,0.00186108589804025,0.00011157441395976794,0.0022524869175542797,1.614016908323247e-06,
36,Adult Income,10.0,age,50,0.00128540412972166,0.0005256162400321968,1.7526205768095245e-05,6.348345664964306e-07,
37,Adult Income,10.0,capital-gain,50,0.00155464918518479,0.0003338328460078417,0.00022093802614946,6.43663685320169e-07,
38,Adult Income,10.0,age,100,0.00491800991342354,0.0009862074389812557,1.5589651894826365e-05,5.857514349389654e-07,
39,Adult Income,10.0,capital-gain,100,0.0048607181355984404,0.000729842441543295,0.00030307967103332005,1.8304334887789548e-06,
40,Bike Sharing,0.5,hr,10,12882.717474453188,6669.988045587777,227.96213523234275,26.14242664296463,
41,Bike Sharing,0.5,hr,20,65076.14107823438,49790.34741903127,73.61907209630223,12.773126854676585,
42,Bike Sharing,0.5,hr,50,445584.46382837405,158372.84827537122,281.1219351740584,128.89148484989795,
43,Bike Sharing,0.5,hr,100,1668107.1758041799,457640.2418680955,951.4295599437237,256.0991946824599,
44,Bike Sharing,1.0,hr,10,2973.080364578195,1490.7352821559082,226.0280490428698,11.451707763625672,
45,Bike Sharing,1.0,hr,20,14780.536564801296,6659.3371779062,55.91130854269827,12.263406054498523,
46,Bike Sharing,1.0,hr,50,106189.82861712339,31335.31163385039,104.23867967338887,40.186801309431814,
47,Bike Sharing,1.0,hr,100,411228.6012790705,78852.16874782777,259.41108557395285,40.60126576778371,
48,Bike Sharing,2.0,hr,10,1277.0572377914682,571.434643363503,226.748990633182,4.592277628867564,
49,Bike Sharing,2.0,hr,20,4416.434653123073,2005.5123438666085,46.025304177059965,2.6958750972999326,
50,Bike Sharing,2.0,hr,50,29773.490944940364,11700.679430477603,50.835906850279436,9.459824521721098,
51,Bike Sharing,2.0,hr,100,106446.20046838194,17178.574893349894,108.3748794718949,20.500512615490454,
52,Bike Sharing,5.0,hr,10,286.67104460916727,133.13491034668192,228.8062756336497,1.8660865093499446,
53,Bike Sharing,5.0,hr,20,705.049979860611,296.12865518213965,42.428096460892746,0.8915505062768401,
54,Bike Sharing,5.0,hr,50,4226.067796834301,1213.683708835231,39.892784346320084,2.8851319705789047,
55,Bike Sharing,5.0,hr,100,13552.512454122649,2895.1959305068676,58.458919561811626,4.624916815863588,
56,Bike Sharing,10.0,hr,10,207.81580933156843,36.777673792107926,227.27538779593638,1.9275428422163894,
57,Bike Sharing,10.0,hr,20,200.88222468073468,57.19072475822376,42.16122104025557,0.4100234346249437,
58,Bike Sharing,10.0,hr,50,1088.4151892680632,324.2131899501943,37.71062130915925,1.495214354072235,
59,Bike Sharing,10.0,hr,100,3787.750216110465,968.7956590014527,50.81092668408004,2.1006953871790106,
60,Heart Disease,0.5,age,10,0.01584565332796576,0.013963103412527426,0.00029395940984504,0.00011418818271833692,
61,Heart Disease,0.5,age,20,0.07468508727177486,0.034685683405870936,0.00082593971951636,0.00032057000553615514,
62,Heart Disease,0.5,age,50,0.43852512604858046,0.1400031832010924,0.0037242773769054507,0.0017132744728082544,
63,Heart Disease,0.5,age,100,1.6524360537124885,0.3725301788792192,0.02011993967842722,0.005623817689130342,
64,Heart Disease,1.0,age,10,0.00399500474086192,0.0017353435814382128,0.00012806637002038505,2.5437876466414454e-05,
65,Heart Disease,1.0,age,20,0.01376459235791672,0.0052061789608515464,0.00018937424658730908,8.352876779999553e-05,
66,Heart Disease,1.0,age,50,0.10073652685625405,0.014567695591252384,0.0010481308729164802,0.00036229759659278546,
67,Heart Disease,1.0,age,100,0.35907272096591625,0.06630010381153904,0.00550933052682141,0.000991998077149278,
68,Heart Disease,2.0,age,10,0.00225000104626153,0.0017802191449644512,7.885694844637819e-05,8.516448644447318e-06,
69,Heart Disease,2.0,age,20,0.00478490675032525,0.0020762985124264245,7.291166870123719e-05,2.1391563601718385e-05,
70,Heart Disease,2.0,age,50,0.028762344052764705,0.012015838679636346,0.00033329305060808003,7.310003617316187e-05,
71,Heart Disease,2.0,age,100,0.10867195956799817,0.02940412533408141,0.0011941821932267799,0.0003156323552109048,
72,Heart Disease,5.0,age,10,0.00070676841237099,0.00025028303536219436,6.673835694968288e-05,1.934174321478126e-06,
73,Heart Disease,5.0,age,20,0.00111778956594785,0.0004887157974282765,2.1556762520377293e-05,3.4972788769128296e-06,
74,Heart Disease,5.0,age,50,0.00441285074610996,0.001527231528748032,5.602503452773076e-05,1.5381951628180785e-05,
75,Heart Disease,5.0,age,100,0.018038970532543053,0.004519042475733016,0.00020825745482350999,4.6033166831642696e-05,
76,Heart Disease,10.0,age,10,0.0004478304027493201,6.105105647908219e-05,6.6730743519017e-05,1.463472885108604e-06,
77,Heart Disease,10.0,age,20,0.0005616498708404,0.00014378798471862973,1.73278888930259e-05,2.2780417717051906e-06,
78,Heart Disease,10.0,age,50,0.0015002036020857902,0.00038873507913234984,1.7621998096430692e-05,3.790260733667099e-06,
79,Heart Disease,10.0,age,100,0.00513535313836396,0.0008373377794482509,5.348806481083755e-05,1.1666117908262326e-05,
